SK_ID_CURR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,DAYS_BIRTH,DAYS_EMPLOYED,CNT_CHILDREN,NAME_FAMILY_STATUS,NAME_EDUCATION_TYPE,NAME_INCOME_TYPE,TARGET,CREDIT_INCOME_RATIO,ANNUITY_INCOME_RATIO,AGE,YEARS_EMPLOYED
100001,141958,475641,7160,20384,958,0,Married,Secondary,Working,0,3.350575522,0.050437453,55,2
100002,166867,884381,16810,11723,9108,3,Widow,Secondary,Working,0,5.299915502,0.100738912,32,24
100003,151932,412507,6126,7476,6466,0,Married,Incomplete Higher,Commercial,0,2.715076482,0.04032067,20,17
100004,279178,868403,31009,19270,1915,0,Single,Incomplete Higher,Working,0,3.110571034,0.111072506,52,5
100005,139879,884903,34584,14276,8694,2,Married,Secondary,Commercial,0,6.326203361,0.247242259,39,23
100006,130268,890421,47182,13228,9098,1,Single,Secondary,Commercial,1,6.835301072,0.362191789,36,24
100007,227892,89080,26396,8732,8282,0,Single,Secondary,Working,1,0.390886911,0.115826795,23,22
100008,74886,1306367,1192,12060,11979,0,Separated,Secondary,State,0,17.44474268,0.015917528,33,32
100009,157337,983836,37413,8068,10500,1,Single,Lower,Pensioner,0,6.253049187,0.23778895,22,28
100010,107498,1131370,13816,10357,2966,1,Single,Higher,State,0,10.5245679,0.128523321,28,8
100011,195203,297985,40082,24802,2048,3,Married,Secondary,Working,0,1.526539039,0.205334959,67,5
100012,211335,129447,33130,8045,8359,1,Married,Incomplete Higher,Working,0,0.612520406,0.156765325,22,22
100013,298167,125029,41142,7826,6788,2,Married,Secondary,Pensioner,0,0.419325412,0.137983077,21,18
100014,61090,184830,37468,15170,11809,0,Single,Secondary,Working,0,3.025536094,0.613324603,41,32
100015,84820,1391992,31698,11202,3413,2,Single,Incomplete Higher,State,0,16.41112945,0.373709031,30,9
100016,282913,566931,11655,7442,4826,1,Single,Incomplete Higher,Working,1,2.003905794,0.04119641,20,13
100017,214027,311094,48897,13531,6886,0,Married,Incomplete Higher,Working,1,1.453526891,0.22846183,37,18
100018,272709,1241497,31075,24822,7338,1,Single,Higher,State,0,4.552460682,0.113949301,68,20
100019,219041,1416220,10359,7882,7674,2,Separated,Higher,State,0,6.465547546,0.047292516,21,21
100020,287455,688404,37661,24202,2935,1,Married,Secondary,State,1,2.394823538,0.131015289,66,8
100021,123355,392732,40579,17399,1187,1,Single,Higher,Pensioner,0,3.183754205,0.328961128,47,3
100022,255796,871183,43056,22205,7665,1,Married,Lower,Working,1,3.405772569,0.168321631,60,21
100023,234176,627893,34272,12504,3719,1,Married,Secondary,Working,1,2.681286725,0.146351462,34,10
100024,204779,846965,43581,20412,1529,0,Married,Higher,Pensioner,1,4.13599539,0.212819674,55,4
100025,278795,349710,15671,17703,3352,1,Single,Secondary,Working,0,1.254362524,0.05620976,48,9
100026,176730,637543,28048,21916,1528,1,Married,Secondary,Commercial,0,3.607440729,0.15870537,60,4
100027,169503,789586,11738,13890,2804,1,Married,Higher,Working,1,4.658242037,0.069249512,38,7
100028,150523,1016967,26963,24269,6506,1,Separated,Secondary,Working,0,6.756223301,0.179128771,66,17
100029,22747,456157,44954,23871,3464,1,Single,Higher,Working,0,20.05350156,1.976260606,65,9
100030,143855,1111581,7773,23395,9289,2,Married,Secondary,Working,0,7.727093254,0.054033575,64,25
100031,85725,1270898,37584,13030,4405,1,Married,Incomplete Higher,Pensioner,0,14.82529017,0.438425197,35,12
100032,149981,1243360,30894,14063,5727,1,Separated,Secondary,Commercial,1,8.290116748,0.205986092,38,15
100033,104654,28387,1717,13638,5716,2,Separated,Secondary,Commercial,0,0.271246202,0.016406444,37,15
100034,87435,885412,12676,22067,1346,1,Single,Secondary,Working,1,10.12651684,0.144976268,60,3
100035,51551,1139033,5434,9813,2692,1,Single,Incomplete Higher,Working,1,22.09526488,0.105410176,26,7
100036,293538,149129,38825,19926,3183,1,Married,Higher,Working,0,0.508039845,0.132265669,54,8
100037,23890,1033308,30100,10963,1829,0,Single,Higher,Working,0,43.25274173,1.259941398,30,5
100038,61606,322875,5994,17901,8006,0,Married,Secondary,Working,1,5.240966789,0.097295718,49,21
100039,276840,1233337,5234,7126,10322,0,Single,Secondary,Working,0,4.45505346,0.018906227,19,28
100040,161699,573926,4764,24107,3586,0,Married,Secondary,Working,1,3.549347862,0.029462149,66,9
100041,290936,489814,44949,23610,11257,3,Separated,Higher,Working,1,1.683579894,0.154497896,64,30
100042,259931,1231134,38405,20761,11538,0,Separated,Secondary,Working,0,4.736387734,0.147750749,56,31
100043,259629,427955,35872,21568,10432,1,Married,Lower,Working,1,1.648332813,0.138166384,59,28
100044,225041,1424541,43215,22629,461,2,Married,Higher,Working,0,6.330139841,0.192031674,61,1
100045,194073,1057330,24185,23485,10264,1,Widow,Secondary,Working,0,5.448104579,0.124618056,64,28
100046,227624,72260,44442,9094,4097,1,Single,Secondary,Pensioner,1,0.317453344,0.195243032,24,11
100047,88148,1120488,42153,18674,4998,0,Married,Higher,Working,1,12.71143985,0.478207106,51,13
100048,272801,261695,12999,10395,3144,1,Married,Secondary,Pensioner,0,0.959289006,0.047650119,28,8
100049,144243,537994,37487,19414,10644,1,Single,Secondary,Working,0,3.729775448,0.259887828,53,29
100050,271995,800326,3581,22083,10986,1,Married,Secondary,Pensioner,0,2.942429089,0.013165683,60,30
100051,174555,351130,3763,9099,1676,0,Single,Higher,Working,0,2.011572284,0.021557675,24,4
100052,68555,873374,28374,7449,1140,0,Married,Higher,State,0,12.7397564,0.41388666,20,3
100053,276508,34725,39759,21207,10946,0,Single,Secondary,Working,0,0.12558407,0.143789691,58,29
100054,299303,1190574,11531,15053,10236,0,Married,Secondary,Commercial,0,3.977821806,0.038526176,41,28
100055,126530,109555,26307,9141,5991,1,Single,Secondary,Working,1,0.865842093,0.207911167,25,16
100056,100077,266486,31835,23423,7542,0,Widow,Higher,Working,0,2.662809637,0.318105059,64,20
100057,220551,800928,12064,15512,939,0,Married,Secondary,State,0,3.631486595,0.054699367,42,2
100058,228261,893036,12312,15836,2396,2,Married,Secondary,Working,1,3.912345955,0.053938255,43,6
100059,260181,879631,38548,23970,11333,0,Married,Incomplete Higher,Pensioner,1,3.380842567,0.148158397,65,31
100060,191829,570609,37945,9119,8630,0,Married,Lower,Working,1,2.974571102,0.19780638,24,23
100061,291836,238103,48937,14215,6024,0,Single,Lower,Working,0,0.815879467,0.167686646,38,16
100062,222283,987599,7476,18309,10606,0,Married,Incomplete Higher,Commercial,0,4.442980345,0.033632801,50,29
100063,216769,420872,25565,7703,3710,1,Single,Secondary,Working,0,1.941569136,0.117936605,21,10
100064,57065,60147,3382,18642,7930,1,Single,Secondary,Working,0,1.054008587,0.05926575,51,21
100065,243165,447882,23463,23538,5018,3,Married,Secondary,State,0,1.84188514,0.096490038,64,13
100066,119299,480584,46276,9489,3387,1,Single,Secondary,State,0,4.028399232,0.387899312,25,9
100067,31534,305931,34402,14430,6401,1,Married,Lower,Pensioner,0,9.701623644,1.090949451,39,17
100068,60397,249839,27345,9103,8350,2,Married,Higher,Working,0,4.136612746,0.452754276,24,22
100069,277750,461162,45764,13354,2676,1,Married,Higher,Working,0,1.660349235,0.164766877,36,7
100070,283160,551015,27946,9526,2106,0,Married,Secondary,Working,0,1.945949287,0.098693318,26,5
100071,75591,1148657,15162,17963,8380,1,Married,Incomplete Higher,Working,0,15.19568467,0.200579434,49,22
100072,240884,1438441,47773,15501,8810,1,Married,Incomplete Higher,State,0,5.971509108,0.198323674,42,24
100073,43247,694556,9397,11614,3211,1,Married,Secondary,Working,0,16.06021227,0.217286748,31,8
100074,44300,697095,23335,18779,11609,1,Single,Incomplete Higher,Working,0,15.73577878,0.526749436,51,31
100075,102798,765109,46095,17231,10925,2,Married,Secondary,Working,0,7.442839355,0.448403665,47,29
100076,29268,1133678,15394,7929,9350,0,Married,Secondary,Commercial,0,38.73438568,0.525966926,21,25
100077,294329,1002082,28197,10644,9616,2,Married,Higher,Pensioner,0,3.404632231,0.095800957,29,26
100078,214776,161570,23010,17611,11191,2,Separated,Higher,Commercial,1,0.752272135,0.107134875,48,30
100079,237851,1121271,25123,20078,3953,0,Widow,Secondary,Working,0,4.714174,0.10562495,55,10
100080,256584,436116,23387,11361,499,0,Single,Secondary,State,0,1.699700683,0.091147538,31,1
100081,58044,526608,3890,14997,6499,2,Single,Lower,Commercial,1,9.07256564,0.067018124,41,17
100082,68984,122235,28769,19822,70,1,Single,Higher,Working,0,1.771932622,0.417038734,54,0
100083,284712,1007403,44626,9760,5105,1,Single,Higher,Working,0,3.538322937,0.156740847,26,13
100084,140151,1494493,9026,21032,10841,0,Single,Secondary,Working,0,10.66344871,0.064401966,57,29
100085,153767,1072609,4306,22284,4426,0,Married,Secondary,Working,1,6.975547419,0.028003408,61,12
100086,144375,521409,34665,8426,10469,0,Widow,Secondary,State,0,3.611490909,0.240103896,23,28
100087,199262,671165,10277,11489,6519,0,Married,Secondary,Working,0,3.368253857,0.051575313,31,17
100088,156330,696211,43239,7281,4452,0,Single,Secondary,Working,0,4.453470223,0.276587987,19,12
100089,184231,556120,48664,16819,7024,1,Married,Secondary,Pensioner,0,3.018601647,0.264146642,46,19
100090,33986,1248085,49008,12005,6305,1,Married,Higher,State,0,36.7235038,1.442005532,32,17
100091,81858,1431445,15683,13702,1126,0,Widow,Secondary,Commercial,1,17.48692858,0.191587872,37,3
100092,149312,150016,1670,8238,3555,0,Widow,Incomplete Higher,Working,0,1.004714959,0.011184634,22,9
100093,32666,287017,24675,18620,8452,0,Separated,Secondary,Working,0,8.786414008,0.755372559,51,23
100094,154633,1143040,18889,24385,623,1,Married,Secondary,Working,0,7.391953852,0.122153745,66,1
100095,124488,675739,45535,24537,5837,3,Married,Secondary,Working,0,5.428145685,0.365778228,67,15
100096,203323,1170898,14006,15842,5329,1,Single,Secondary,Working,1,5.758807415,0.068885468,43,14
100097,290536,750182,49536,21842,6736,1,Married,Secondary,Working,0,2.58206212,0.170498665,59,18
100098,50535,452557,27531,11566,10769,0,Single,Lower,Working,0,8.955318096,0.544790739,31,29
100099,97373,803519,22639,20062,9577,1,Married,Higher,Working,0,8.251969232,0.232497715,54,26
100100,143684,421978,17633,19583,233,1,Married,Secondary,Working,0,2.936847527,0.122720693,53,0
100101,293109,1038316,35660,16119,3929,1,Single,Secondary,Commercial,0,3.542422785,0.121661225,44,10
100102,44538,874049,4439,19397,7739,1,Single,Higher,Commercial,1,19.62479231,0.099667699,53,21
100103,221664,629771,33172,22788,2235,1,Single,Higher,Working,0,2.841106359,0.149649921,62,6
100104,159182,528886,36622,8234,9092,2,Single,Secondary,Working,1,3.322523903,0.230063701,22,24
100105,178338,1288203,12577,13305,7288,2,Single,Higher,Working,1,7.223379201,0.070523388,36,19
100106,204064,547601,12763,7204,5245,1,Single,Incomplete Higher,Working,1,2.683476752,0.062544104,19,14
100107,234020,1168490,21176,15225,2183,2,Single,Higher,Working,0,4.993120246,0.090487992,41,5
100108,118806,552993,45386,10441,8117,0,Single,Incomplete Higher,Pensioner,0,4.654588152,0.382017743,28,22
100109,110982,108892,25255,18854,8485,1,Separated,Incomplete Higher,Unemployed,1,0.981168117,0.227559424,51,23
100110,141626,1317743,42003,24629,8597,1,Married,Incomplete Higher,Commercial,1,9.3043862,0.2965769,67,23
100111,139176,648942,20996,19435,7402,1,Single,Secondary,Pensioner,1,4.662743576,0.150859344,53,20
100112,238126,1244444,36386,16198,6992,2,Married,Higher,Commercial,0,5.225989602,0.152801458,44,19
100113,238969,1133649,22062,16693,5778,1,Widow,Higher,Working,0,4.743916575,0.092321598,45,15
100114,142409,109195,36931,17563,1850,0,Married,Higher,Unemployed,1,0.766770359,0.25933052,48,5
100115,43419,721987,36710,24554,7991,0,Single,Lower,Working,0,16.62836546,0.845482393,67,21
100116,273618,1087424,35693,23609,9265,1,Married,Secondary,Commercial,0,3.974241461,0.130448289,64,25
100117,265310,937883,36740,13484,7509,0,Married,Secondary,Working,0,3.535045795,0.138479515,36,20
100118,70015,1343486,12705,7276,634,1,Married,Secondary,Working,0,19.18854531,0.181461115,19,1
100119,268550,1031630,44408,9546,3407,1,Married,Secondary,Commercial,0,3.841482033,0.16536213,26,9
100120,142096,73099,29047,13109,11026,0,Widow,Secondary,Working,0,0.514433904,0.20441814,35,30
100121,127059,1482852,11966,10002,11777,1,Widow,Higher,Working,0,11.67057824,0.094176721,27,32
100122,205340,1017237,18374,19031,7387,3,Married,Secondary,Working,0,4.953915457,0.089480861,52,20
100123,130687,1122698,12138,15735,5223,3,Married,Higher,Working,0,8.590739706,0.092878404,43,14
100124,231428,578156,16935,9139,3573,0,Married,Higher,Unemployed,0,2.498211107,0.073176107,25,9
100125,125878,1470017,46913,19546,310,0,Widow,Secondary,State,1,11.67810896,0.372686252,53,0
100126,222982,1322363,1489,21850,7789,1,Single,Secondary,Working,0,5.930357607,0.006677669,59,21
100127,218286,491275,45516,9614,574,0,Separated,Higher,Working,0,2.250602421,0.208515434,26,1
100128,269002,303871,23260,18586,11775,1,Single,Higher,State,1,1.129623572,0.086467759,50,32
100129,270396,1162655,27069,20343,1531,2,Married,Incomplete Higher,Working,1,4.299823222,0.100108729,55,4
100130,184899,857129,20275,14514,3817,1,Widow,Incomplete Higher,Working,0,4.63566055,0.10965446,39,10
100131,63585,1069605,37284,10106,7723,3,Single,Lower,Working,0,16.82165605,0.586364709,27,21
100132,84044,1299929,40178,19520,10659,1,Married,Higher,Pensioner,0,15.46724335,0.478059112,53,29
100133,129556,412442,33821,16967,7964,1,Single,Incomplete Higher,Working,0,3.183503659,0.261053135,46,21
100134,22693,1248294,17999,24017,3599,2,Married,Incomplete Higher,Working,1,55.00788789,0.793152073,65,9
100135,263307,1475523,39712,16457,8273,1,Single,Incomplete Higher,Working,1,5.60381228,0.150820145,45,22
100136,220235,1425178,41172,15084,8072,0,Married,Secondary,Working,1,6.471169433,0.186945762,41,22
100137,45939,901816,34722,14857,9197,1,Married,Lower,Working,0,19.6307277,0.755828381,40,25
100138,172906,1122502,11625,9419,2699,0,Separated,Secondary,Working,0,6.4919783,0.067233063,25,7
100139,38047,322650,2629,23093,5442,1,Separated,Higher,Working,1,8.480300681,0.069098746,63,14
100140,95766,448031,11973,15784,1782,0,Single,Secondary,Working,0,4.678393167,0.125023495,43,4
100141,64262,1095668,7859,16263,11607,0,Married,Secondary,Working,0,17.05001401,0.122296225,44,31
100142,181152,1378259,42609,11243,5161,0,Single,Secondary,State,1,7.608301316,0.235211314,30,14
100143,148376,988581,44307,20826,2965,3,Single,Secondary,Pensioner,0,6.662674557,0.298612983,57,8
100144,157848,157889,46450,9292,2284,0,Single,Secondary,Working,0,1.000259744,0.294270437,25,6
100145,112787,698221,37046,15703,3205,2,Separated,Incomplete Higher,Working,1,6.19061594,0.32845984,43,8
100146,147948,180006,22839,23010,11419,3,Separated,Secondary,Working,0,1.21668424,0.154371806,63,31
100147,75016,774727,28216,19404,1869,0,Single,Secondary,Commercial,0,10.32749014,0.376133092,53,5
100148,41959,1194906,19945,8626,11868,0,Single,Secondary,Commercial,0,28.47794275,0.47534498,23,32
100149,156602,1111351,7539,21225,9162,1,Single,Higher,Working,0,7.096659047,0.048141148,58,25
100150,245928,1321189,34625,9294,8615,1,Married,Secondary,Commercial,0,5.37225936,0.14079324,25,23
100151,285892,295998,5886,10355,8230,1,Married,Secondary,Commercial,0,1.035349013,0.020588194,28,22
100152,248576,666616,46713,11332,9732,3,Single,Secondary,Pensioner,0,2.681739186,0.187922406,31,26
100153,33545,81256,8485,9040,11025,0,Married,Higher,Working,1,2.422298405,0.252943807,24,30
100154,185838,956441,32455,13643,4395,0,Married,Secondary,Working,0,5.14663847,0.174641354,37,12
100155,81087,1414854,47448,20565,4787,0,Separated,Secondary,Working,1,17.44859225,0.585149284,56,13
100156,88840,186360,17767,9196,1995,0,Married,Secondary,Pensioner,0,2.097703737,0.199988744,25,5
100157,138451,351874,48165,7571,545,0,Married,Lower,State,0,2.541505659,0.347884811,20,1
100158,59353,423267,29453,10374,2265,2,Married,Secondary,Working,0,7.131349721,0.496234394,28,6
100159,213075,1343106,11744,17049,9165,2,Widow,Higher,Working,0,6.30344245,0.055116743,46,25
100160,234283,1296210,38102,18551,9262,2,Single,Secondary,Working,1,5.532667757,0.162632372,50,25
